20191102-001			76795			1	8	11	12	15	3	5	7	25	2			1	5	3	24	2	6	6	21	12	9			11	5	8	14	2	6	43	7	10	4			3	9	11	5	2	18	4	14	1	9			10	7	11	2	15	5	31	1	8	3			1	5	3	2	2	5	6	7	1	9	
20191102-002			30172			2	9	12	3	16	4	6	1	26	3			0	6	4	25	3	7	1	22	13	10			12	1	9	15	3	7	44	1	11	5			4	10	12	6	3	19	5	7	2	1			11	8	2	3	16	1	32	2	9	4			0	1	2	3	3	1	1	7	2	1	
20191102-003			82231			3	10	13	1	17	5	7	2	8	4			1	7	2	26	4	8	2	23	14	11			13	1	2	16	4	8	45	2	12	6			5	11	13	3	4	20	6	1	3	2			12	1	1	4	17	2	33	3	10	5			1	1	2	3	4	2	2	1	8	2	
20191102-004			59049			4	11	14	2	18	5	8	3	1	5			2	8	1	27	5	9	3	24	15	9			0	2	1	17	5	9	46	3	13	7			6	12	14	1	4	21	7	2	4	3			13	1	2	5	18	3	34	4	11	9			0	1	1	1	4	5	3	2	1	9	
20191102-005			42868			5	12	15	3	4	1	9	4	2	6			3	9	2	28	6	10	4	25	16	1			1	3	2	18	6	10	47	4	8	8			7	13	15	2	1	22	6	3	5	4			14	2	3	6	19	4	35	5	8	1			1	2	2	2	4	1	6	3	8	1	
20191102-006			86760			6	13	16	4	1	2	10	5	8	7			4	10	1	29	7	11	6	26	17	2			2	4	3	19	7	11	48	7	1	9			8	14	16	3	2	23	6	4	6	5			0	3	4	7	20	5	36	6	1	2			0	3	1	3	1	2	6	7	8	2	
20191102-007			05715			0	14	17	5	2	3	11	6	1	8			5	11	2	30	8	5	1	27	18	3			3	5	4	20	8	12	49	7	2	10			9	1	17	4	3	24	1	5	7	6			1	4	5	8	21	5	37	7	2	3			0	1	2	4	2	5	1	7	1	3	
20191102-008			27502			1	15	2	6	3	4	12	7	2	9			6	12	3	31	9	1	2	7	19	4			4	6	5	21	9	5	50	1	3	11			0	1	18	5	4	25	2	6	8	7			2	5	2	9	22	1	38	8	3	4			0	1	2	5	3	5	2	7	2	4	
20191102-009			00831			0	16	1	7	4	5	13	8	3	10			0	13	4	32	10	2	3	1	20	5			5	7	6	22	10	1	51	2	8	12			1	2	19	3	5	26	3	7	9	8			3	1	1	10	23	2	39	9	4	5			0	1	1	3	4	1	3	1	8	5	
20191102-010			87969			1	17	2	8	5	6	14	9	8	11			1	14	5	33	11	3	4	7	21	6			6	8	7	23	11	2	52	3	1	9			2	3	20	1	6	27	6	8	10	9			4	1	2	11	24	3	40	10	5	9			1	1	2	1	5	2	6	7	8	9	
20191102-011			20782			2	18	2	9	6	7	15	10	1	12			0	15	6	34	12	4	5	1	22	7			7	9	8	24	12	3	53	7	2	1			3	4	21	2	7	28	1	9	8	10			5	2	2	12	25	4	41	11	6	1			0	2	2	2	6	3	1	7	8	1	
20191102-012			03861			0	19	1	10	7	8	16	11	2	13			1	16	7	3	13	5	6	2	23	8			8	10	9	25	13	4	54	1	8	2			4	5	22	3	8	29	6	10	1	11			6	1	1	13	26	5	42	12	7	2			0	1	1	3	7	4	6	1	8	2	
